name,cgpa
mew,9.040000
mni,9.040000
nzu,9.040000
oxc,9.040000
qhr,9.040000
rox,9.040000
rtq,9.040000
scg,9.040000
spf,9.040000
srv,9.040000
ssx,9.040000
tfi,9.040000
txm,9.040000
ucf,9.040000
wda,9.040000
wwx,9.040000
wxw,9.040000
xbh,9.040000
xhb,9.040000
xkk,9.040000
xml,9.040000
xud,9.040000
ynt,9.040000
zxv,9.040000
ikk,9.040000
arp,9.050000
auz,9.050000
gmm,9.050000
gnk,9.050000
iac,9.050000
ijb,9.050000
jaa,9.050000
lcf,9.050000
mil,9.050000
mwa,9.050000
paa,9.050000
pcl,9.050000
pcn,9.050000
qck,9.050000
qxi,9.050000
rep,9.050000
rxl,9.050000
sly,9.050000
svc,9.050000
tav,9.050000
teh,9.050000
tta,9.050000
tty,9.050000
twx,9.050000
vle,9.050000
wid,9.050000
wmc,9.050000
wys,9.050000
xng,9.050000
ahp,9.060000
art,9.060000
axe,9.060000
bwl,9.060000
ebj,9.060000
elx,9.060000
eqz,9.060000
fnd,9.060000
ftb,9.060000
gmv,9.060000
hzk,9.060000
iee,9.060000
ihu,9.060000
kmh,9.060000
knv,9.060000
rya,9.060000
scn,9.060000
tvs,9.060000
txp,9.060000
wim,9.060000
xdm,9.060000
xhu,9.060000
xpq,9.060000
yzk,9.060000
zaa,9.060000
zvb,9.060000
krq,9.060000
lgy,9.060000
mdn,9.060000
mit,9.060000
mnh,9.060000
njv,9.060000
obc,9.060000
ohz,9.060000
qwf,9.060000
rdb,9.060000
acs,9.070000
bhr,9.070000
dcn,9.070000
dyo,9.070000
ebt,9.070000
elq,9.070000
fdh,9.070000
fqb,9.070000
fvz,9.070000
hae,9.070000
hlu,9.070000
hnp,9.070000
iyi,9.070000
iyw,9.070000
jkb,9.070000
jkz,9.070000
kwv,9.070000
lse,9.070000
ltb,9.070000
nti,9.070000
ozj,9.070000
pom,9.070000
ris,9.070000
uqc,9.070000
uqw,9.070000
vtx,9.070000
wis,9.070000
wox,9.070000
wqh,9.070000
wuo,9.070000
xea,9.070000
xjl,9.070000
xve,9.070000
xwx,9.070000
xzk,9.070000
yhg,9.070000
zhs,9.070000
bix,9.070000
aah,9.080000
bsp,9.080000
buy,9.080000
bxs,9.080000
cbu,9.080000
clt,9.080000
cse,9.080000
dek,9.080000
dql,9.080000
ekc,9.080000
eyt,9.080000
fxn,9.080000
gdr,9.080000
hjb,9.080000
hjw,9.080000
ima,9.080000
isr,9.080000
jgp,9.080000
jhb,9.080000
kqq,9.080000
ksv,9.080000
kyo,9.080000
kyv,9.080000
kyy,9.080000
lfa,9.080000
mdz,9.080000
mfk,9.080000
mtt,9.080000
nnc,9.080000
nsi,9.080000
nxf,9.080000
rfr,9.080000
rho,9.080000
tft,9.080000
ues,9.080000
uyg,9.080000
veb,9.080000
wdf,9.080000
wmy,9.080000
ypl,9.080000
yyu,9.080000
zvq,9.080000
omh,9.080000
oxh,9.080000
pbs,9.080000
qdk,9.080000
bpd,9.090000
bwz,9.090000
diq,9.090000
dte,9.090000
dzt,9.090000
eyq,9.090000
fyf,9.090000
jbr,9.090000
lhs,9.090000
lqq,9.090000
mch,9.090000
mqw,9.090000
nnx,9.090000
qib,9.090000
rim,9.090000
rmg,9.090000
sfe,9.090000
skr,9.090000
slc,9.090000
thr,9.090000
tqa,9.090000
tuk,9.090000
uga,9.090000
uje,9.090000
unz,9.090000
uvg,9.090000
vxm,9.090000
wyp,9.090000
zos,9.090000
zzx,9.090000
wzl,9.090000
xkl,9.090000
xpl,9.090000
ykq,9.090000
ytc,9.090000
atx,9.100000
bae,9.100000
bfv,9.100000
esc,9.100000
fel,9.100000
fih,9.100000
jmy,9.100000
kij,9.100000
kil,9.100000
lov,9.100000
mou,9.100000
mpt,9.100000
oct,9.100000
opb,9.100000
rag,9.100000
tgk,9.100000
tkg,9.100000
toj,9.100000
uhi,9.100000
urq,9.100000
vkc,9.100000
wmt,9.100000
xla,9.100000
xrh,9.100000
yxf,9.100000
zhg,9.100000
zka,9.100000
zmw,9.100000
zrn,9.100000
gve,9.100000
hch,9.100000
hfb,9.100000
hjp,9.100000
izd,9.100000
jck,9.100000
act,9.110000
akn,9.110000
awa,9.110000
bls,9.110000
bzu,9.110000
dsj,9.110000
elm,9.110000
fcv,9.110000
fot,9.110000
fpu,9.110000
jaz,9.110000
jcm,9.110000
jef,9.110000
lxx,9.110000
msp,9.110000
nhh,9.110000
rwc,9.110000
sds,9.110000
swl,9.110000
uvi,9.110000
vxz,9.110000
xnv,9.110000
zwo,9.110000
zxk,9.110000
bki,9.120000
dge,9.120000
djv,9.120000
dui,9.120000
fum,9.120000
fva,9.120000
xmd,9.120000
xwt,9.120000
ydd,9.120000
yht,9.120000
yow,9.120000
zue,9.120000
hse,9.120000
igm,9.120000
iri,9.120000
jyf,9.120000
jzj,9.120000
kcq,9.120000
lnx,9.120000
nra,9.120000
obh,9.120000
qdm,9.120000
qxm,9.120000
sup,9.120000
tjp,9.120000
uyp,9.120000
abp,9.130000
ffn,9.130000
gbr,9.130000
hjm,9.130000
iow,9.130000
iwv,9.130000
jwy,9.130000
kyu,9.130000
kzn,9.130000
mud,9.130000
oam,9.130000
ofr,9.130000
otr,9.130000
oua,9.130000
rps,9.130000
rrl,9.130000
tcn,9.130000
tcr,9.130000
veg,9.130000
wxv,9.130000
xvh,9.130000
xwo,9.130000
zbu,9.130000
zml,9.130000
zwl,9.130000
zxh,9.130000
apt,9.130000
avh,9.130000
dck,9.130000
dzw,9.130000
dzx,9.130000
akw,9.140000
asb,9.140000
cih,9.140000
dml,9.140000
dmq,9.140000
dov,9.140000
eji,9.140000
fln,9.140000
giq,9.140000
hgv,9.140000
hig,9.140000
iye,9.140000
jzi,9.140000
kxo,9.140000
lol,9.140000
loy,9.140000
lup,9.140000
lzz,9.140000
mix,9.140000
owd,9.140000
pdl,9.140000
pnw,9.140000
rpi,9.140000
rqc,9.140000
rrq,9.140000
slq,9.140000
tju,9.140000
tqb,9.140000
ueq,9.140000
vuq,9.140000
woc,9.140000
zdf,9.140000
znw,9.140000
zou,9.140000
aek,9.150000
cfc,9.150000
dyj,9.150000
fxm,9.150000
gzj,9.150000
kag,9.150000
kax,9.150000
klg,9.150000
kwu,9.150000
ljz,9.150000
omk,9.150000
pgu,9.150000
rlx,9.150000
tjr,9.150000
txu,9.150000
wie,9.150000
wob,9.150000
wqy,9.150000
xep,9.150000
dsm,9.160000
efa,9.160000
eui,9.160000
fww,9.160000
hjj,9.160000
icj,9.160000
ilv,9.160000
ios,9.160000
iws,9.160000
ljf,9.160000
lna,9.160000
mgi,9.160000
mgt,9.160000
nie,9.160000
nim,9.160000
njn,9.160000
qal,9.160000
slb,9.160000
umd,9.160000
urs,9.160000
uuc,9.160000
vun,9.160000
wgy,9.160000
wtp,9.160000
xgd,9.160000
xhj,9.160000
zcd,9.160000
zsp,9.160000
jsx,9.160000
aen,9.170000
ahb,9.170000
ajr,9.170000
awj,9.170000
brv,9.170000
dec,9.170000
dlk,9.170000
fgn,9.170000
fhc,9.170000
fpg,9.170000
fxb,9.170000
hrj,9.170000
ifn,9.170000
irl,9.170000
ivg,9.170000
jhc,9.170000
kjm,9.170000
man,9.170000
nfi,9.170000
nrf,9.170000
nte,9.170000
oti,9.170000
oxs,9.170000
pdw,9.170000
qmt,9.170000
rhd,9.170000
saw,9.170000
ttu,9.170000
uhb,9.170000
vgr,9.170000
voi,9.170000
ytn,9.170000
zvj,9.170000
vve,9.170000
agg,9.180000
ast,9.180000
clr,9.180000
cwy,9.180000
dfu,9.180000
dzg,9.180000
egv,9.180000
fhz,9.180000
fuz,9.180000
hje,9.180000
hrn,9.180000
hvf,9.180000
hxr,9.180000
hzh,9.180000
jxs,9.180000
lrs,9.180000
ndo,9.180000
ofs,9.180000
qrt,9.180000
rgw,9.180000
sml,9.180000
tfr,9.180000
tom,9.180000
ttj,9.180000
tww,9.180000
ubd,9.180000
ufw,9.180000
vra,9.180000
wsr,9.180000
xoy,9.180000
xpx,9.180000
xta,9.180000
xye,9.180000
yhv,9.180000
zbt,9.180000
ade,9.190000
aps,9.190000
dbp,9.190000
dpp,9.190000
ezm,9.190000
fdy,9.190000
fmq,9.190000
fny,9.190000
fom,9.190000
kao,9.190000
khr,9.190000
mmi,9.190000
mnn,9.190000
mum,9.190000
muv,9.190000
niy,9.190000
ohi,9.190000
qwc,9.190000
vir,9.190000
vyi,9.190000
wbb,9.190000
wcy,9.190000
yfm,9.190000
aua,9.200000
cns,9.200000
cwt,9.200000
efb,9.200000
egn,9.200000
eqr,9.200000
fct,9.200000
for,9.200000
gqm,9.200000
hit,9.200000
jap,9.200000
jsj,9.200000
jtc,9.200000
jwn,9.200000
wfi,9.200000
wnt,9.200000
woo,9.200000
xyg,9.200000
zda,9.200000
zdh,9.200000
zom,9.200000
zrf,9.200000
kcn,9.200000
klm,9.200000
mrr,9.200000
noa,9.200000
nqv,9.200000
pgp,9.200000
pkk,9.200000
rsf,9.200000
rxi,9.200000
tal,9.200000
tbq,9.200000
bwr,9.210000
bzh,9.210000
ckq,9.210000
cld,9.210000
fts,9.210000
gck,9.210000
gdh,9.210000
gzv,9.210000
heg,9.210000
hfl,9.210000
hpm,9.210000
htq,9.210000
lmo,9.210000
lte,9.210000
mmg,9.210000
noe,9.210000
qjm,9.210000
qnw,9.210000
qyq,9.210000
saq,9.210000
tat,9.210000
tfe,9.210000
tuq,9.210000
ugj,9.210000
uzd,9.210000
vdw,9.210000
von,9.210000
xwy,9.210000
xxo,9.210000
yzl,9.210000
zbl,9.210000
zwr,9.210000
iqh,9.210000
jct,9.210000
ale,9.220000
atv,9.220000
aub,9.220000
bdi,9.220000
ddk,9.220000
ean,9.220000
eop,9.220000
exd,9.220000
hjq,9.220000
hqe,9.220000
ihz,9.220000
irp,9.220000
khn,9.220000
kki,9.220000
lap,9.220000
lip,9.220000
lto,9.220000
mhu,9.220000
onk,9.220000
pht,9.220000
plw,9.220000
pzo,9.220000
rmv,9.220000
rsw,9.220000
smx,9.220000
sos,9.220000
tas,9.220000
ulf,9.220000
uqe,9.220000
uvl,9.220000
vqh,9.220000
vwi,9.220000
wgq,9.220000
yit,9.220000
zdm,9.220000
zqg,9.220000
awg,9.230000
cam,9.230000
dan,9.230000
tkx,9.230000
trb,9.230000
ujy,9.230000
uzt,9.230000
vdu,9.230000
vqv,9.230000
vvm,9.230000
wcn,9.230000
wnd,9.230000
xed,9.230000
xhv,9.230000
yeq,9.230000
yil,9.230000
zci,9.230000
zdv,9.230000
dna,9.230000
doa,9.230000
dog,9.230000
duh,9.230000
ewk,9.230000
ffc,9.230000
fqw,9.230000
gah,9.230000
hbj,9.230000
hgi,9.230000
hnv,9.230000
hss,9.230000
iks,9.230000
jcj,9.230000
jdn,9.230000
jkr,9.230000
jqh,9.230000
jvh,9.230000
jwv,9.230000
lix,9.230000
luu,9.230000
lzd,9.230000
mea,9.230000
ofp,9.230000
ptf,9.230000
qmz,9.230000
raj,9.230000
rec,9.230000
ree,9.230000
rqi,9.230000
sna,9.230000
tfq,9.230000
tsl,9.240000
ueg,9.240000
ulb,9.240000
url,9.240000
vjy,9.240000
vzm,9.240000
ydh,9.240000
ypi,9.240000
yym,9.240000
zhd,9.240000
zro,9.240000
zwq,9.240000
yak,9.250000
zst,9.250000
zwn,9.250000
exs,9.230000
aiy,9.240000
buo,9.240000
bur,9.240000
dtb,9.240000
gbq,9.240000
gov,9.240000
gvz,9.240000
hna,9.240000
hnl,9.240000
ivy,9.240000
jnv,9.240000
jue,9.240000
kvc,9.240000
mkr,9.240000
mvl,9.240000
mzx,9.240000
nef,9.240000
njl,9.240000
nsq,9.240000
och,9.240000
oci,9.240000
ozi,9.240000
qcd,9.240000
qed,9.240000
rwh,9.240000
rxe,9.240000
rye,9.240000
see,9.240000
sqg,9.240000
aat,9.250000
abj,9.250000
bfs,9.250000
dvx,9.250000
scp,9.250000
tdb,9.250000
tet,9.250000
epy,9.250000
evk,9.250000
ewf,9.250000
hal,9.250000
hco,9.250000
hgn,9.250000
hiv,9.250000
hrf,9.250000
htk,9.250000
jpj,9.250000
jte,9.250000
kpv,9.250000
lbm,9.250000
ldg,9.250000
oae,9.250000
opq,9.250000
puc,9.250000
qcz,9.250000
qix,9.250000
qlq,9.250000
qwr,9.250000
rti,9.250000
aut,9.260000
bhu,9.260000
bos,9.260000
bzq,9.260000
ceu,9.260000
mml,9.260000
nkx,9.260000
nww,9.260000
ozk,9.260000
qny,9.260000
sjo,9.260000
tbl,9.260000
tfh,9.260000
tlq,9.260000
uch,9.260000
udf,9.260000
ury,9.260000
vax,9.260000
vew,9.260000
vuu,9.260000
wnb,9.260000
wtd,9.260000
xux,9.260000
xxv,9.260000
yfg,9.260000
ysb,9.260000
ytf,9.260000
yxu,9.260000
zdd,9.260000
zpd,9.260000
cjx,9.260000
dgu,9.260000
efq,9.260000
gvj,9.260000
gvv,9.260000
hja,9.260000
inv,9.260000
jcq,9.260000
aup,9.270000
auy,9.270000
bkx,9.270000
bvg,9.270000
chu,9.270000
dpe,9.270000
drh,9.270000
dsn,9.270000
dym,9.270000
gci,9.270000
hdw,9.270000
iji,9.270000
jfc,9.270000
jqt,9.270000
ksx,9.270000
ktj,9.270000
nad,9.270000
ncy,9.270000
odm,9.270000
omy,9.270000
pgg,9.270000
pjy,9.270000
psy,9.270000
qvi,9.270000
wls,9.270000
xcg,9.270000
xtt,9.270000
yoj,9.270000
uok,9.270000
uvw,9.270000
uxg,9.270000
ari,9.280000
czu,9.280000
fas,9.280000
fdw,9.280000
gyx,9.280000
hjf,9.280000
hpj,9.280000
jak,9.280000
jhr,9.280000
jnm,9.280000
jzh,9.280000
luh,9.280000
mha,9.280000
otd,9.280000
oyg,9.280000
oyj,9.280000
plz,9.280000
qyr,9.280000
rap,9.280000
ske,9.280000
slt,9.280000
smn,9.280000
swz,9.280000
sxv,9.280000
syj,9.280000
tjd,9.280000
tsh,9.280000
tyw,9.280000
vyb,9.280000
xxt,9.280000
ywz,9.280000
btv,9.280000
cbt,9.280000
aaw,9.290000
bbi,9.290000
bfw,9.290000
cnp,9.290000
cpr,9.290000
ctd,9.290000
dpz,9.290000
dua,9.290000
dwr,9.290000
fyy,9.290000
gkr,9.290000
hnt,9.290000
iqm,9.290000
jba,9.290000
jzw,9.290000
klj,9.290000
kno,9.290000
ljx,9.290000
mib,9.290000
nmm,9.290000
nuw,9.290000
oog,9.290000
ouy,9.290000
pte,9.290000
qnx,9.290000
rrz,9.290000
ryr,9.290000
ukp,9.290000
vdx,9.290000
vmx,9.290000
wrh,9.290000
wsc,9.290000
ych,9.290000
zwy,9.290000
bjr,9.300000
bsu,9.300000
cfy,9.300000
crb,9.300000
fag,9.300000
fhe,9.300000
ghl,9.300000
hgm,9.300000
jii,9.300000
jro,9.300000
kwc,9.300000
nqc,9.300000
obn,9.300000
oju,9.300000
olt,9.300000
oop,9.300000
pxx,9.300000
quk,9.300000
qvf,9.300000
qwo,9.300000
qzr,9.300000
rvz,9.300000
ski,9.300000
tkw,9.300000
ujg,9.300000
vht,9.300000
wns,9.300000
zpb,9.300000
kyf,9.300000
lxs,9.300000
mfh,9.300000
moq,9.300000
aag,9.310000
anf,9.310000
bxn,9.310000
cnc,9.310000
dbm,9.310000
djs,9.310000
eiy,9.310000
eoz,9.310000
fly,9.310000
get,9.310000
ggn,9.310000
hmp,9.310000
htv,9.310000
hzv,9.310000
ijx,9.310000
jiw,9.310000
kgz,9.310000
mhw,9.310000
nea,9.310000
nfb,9.310000
nsf,9.310000
qts,9.310000
rkm,9.310000
shh,9.310000
sug,9.310000
thi,9.310000
trd,9.310000
tvj,9.310000
ukk,9.310000
wla,9.310000
bwv,9.320000
cog,9.320000
crl,9.320000
cwf,9.320000
gvb,9.320000
kti,9.320000
lkq,9.320000
lvu,9.320000
mfp,9.320000
ncm,9.320000
njj,9.320000
nqt,9.320000
ntv,9.320000
nwr,9.320000
qjg,9.320000
qwz,9.320000
sfr,9.320000
sgf,9.320000
sws,9.320000
tra,9.320000
ujr,9.320000
uyq,9.320000
vsj,9.320000
wit,9.320000
wll,9.320000
wmi,9.320000
xcb,9.320000
xlz,9.320000
xqw,9.320000
yfn,9.320000
you,9.320000
zvh,9.320000
euc,9.320000
ffq,9.320000
fxw,9.320000
abe,9.330000
bfn,9.330000
bqx,9.330000
bsn,9.330000
byj,9.330000
cjm,9.330000
cmg,9.330000
cxp,9.330000
enp,9.330000
gpl,9.330000
igu,9.330000
izr,9.330000
jzg,9.330000
kix,9.330000
kzu,9.330000
lah,9.330000
lva,9.330000
mfq,9.330000
nao,9.330000
ofa,9.330000
orj,9.330000
psq,9.330000
sms,9.330000
smt,9.330000
srl,9.330000
tap,9.330000
vjd,9.330000
vjv,9.330000
vsh,9.330000
vxk,9.330000
yuh,9.330000
zcv,9.330000
aer,9.340000
baq,9.340000
bnp,9.340000
cnx,9.340000
cwh,9.340000
fvr,9.340000
gdc,9.340000
gkq,9.340000
gye,9.340000
hao,9.340000
hnz,9.340000
mxf,9.340000
nbr,9.340000
nfy,9.340000
nmd,9.340000
pff,9.340000
pgi,9.340000
qbr,9.340000
qek,9.340000
qfi,9.340000
rpn,9.340000
ttr,9.340000
uin,9.340000
uqj,9.340000
vcq,9.340000
wbs,9.340000
wvm,9.340000
yxt,9.340000
iei,9.340000
iqc,9.340000
izm,9.340000
klh,9.340000
mdo,9.340000
awv,9.350000
brd,9.350000
bxg,9.350000
bxh,9.350000
ccs,9.350000
esj,9.350000
eyu,9.350000
fmc,9.350000
ilu,9.350000
ivi,9.350000
jdy,9.350000
kng,9.350000
kyb,9.350000
lal,9.350000
lth,9.350000
ndd,9.350000
nsg,9.350000
ocn,9.350000
oeb,9.350000
oid,9.350000
sdq,9.350000
skw,9.350000
sme,9.350000
uzc,9.350000
xmj,9.350000
xvz,9.350000
ywl,9.350000
zgv,9.350000
zmi,9.350000
ywt,9.350000
afl,9.360000
byq,9.360000
ckb,9.360000
dvy,9.360000
fyz,9.360000
hdk,9.360000
hjh,9.360000
hrv,9.360000
jnp,9.360000
jxh,9.360000
kzd,9.360000
mfm,9.360000
mnb,9.360000
nsz,9.360000
odq,9.360000
pdo,9.360000
skp,9.360000
snl,9.360000
the,9.360000
thy,9.360000
tug,9.360000
vhc,9.360000
vmj,9.360000
vmm,9.360000
vny,9.360000
vvs,9.360000
wlh,9.360000
yaz,9.360000
yfj,9.360000
ytb,9.360000
yyl,9.360000
zcb,9.360000
zts,9.360000
ayt,9.360000
bgj,9.370000
bnd,9.370000
bsb,9.370000
bvt,9.370000
cea,9.370000
coq,9.370000
dbt,9.370000
drq,9.370000
edt,9.370000
fze,9.370000
jat,9.370000
jke,9.370000
jtl,9.370000
lih,9.370000
nbp,9.370000
nwa,9.370000
pjv,9.370000
poy,9.370000
pxr,9.370000
qbo,9.370000
qfd,9.370000
qmf,9.370000
rwd,9.370000
ufa,9.370000
uuu,9.370000
uxs,9.370000
vjj,9.370000
vni,9.370000
vwx,9.370000
wny,9.370000
wzs,9.370000
xqi,9.370000
zyt,9.370000
ads,9.380000
anm,9.380000
aze,9.380000
boe,9.380000
cnb,9.380000
dmv,9.380000
dqs,9.380000
ecl,9.380000
gxn,9.380000
hdf,9.380000
iqx,9.380000
jzb,9.380000
kgk,9.380000
klf,9.380000
ksw,9.380000
ofx,9.380000
owy,9.380000
pfb,9.380000
pla,9.380000
pup,9.380000
qdp,9.380000
qoo,9.380000
sag,9.380000
ssw,9.380000
tit,9.380000
uqy,9.380000
vqt,9.380000
wdr,9.380000
xaa,9.380000
xfq,9.380000
xhc,9.380000
xnn,9.380000
xpy,9.380000
xxe,9.380000
zlz,9.380000
mma,9.380000
alt,9.390000
bop,9.390000
ccq,9.390000
cfg,9.390000
dhm,9.390000
eoy,9.390000
fde,9.390000
ftj,9.390000
hni,9.390000
izu,9.390000
jbz,9.390000
krx,9.390000
llw,9.390000
lmn,9.390000
lsn,9.390000
mkw,9.390000
mtv,9.390000
ncg,9.390000
nez,9.390000
nfa,9.390000
nlo,9.390000
nub,9.390000
oqd,9.390000
otv,9.390000
sgl,9.390000
sqe,9.390000
sqv,9.390000
syd,9.390000
uuz,9.390000
uxb,9.390000
vww,9.390000
ybq,9.390000
yoz,9.390000
bfo,9.400000
kch,9.400000
kqo,9.400000
kwy,9.400000
kyc,9.400000
lme,9.400000
myy,9.400000
nwm,9.400000
nyo,9.400000
oaz,9.400000
pij,9.400000
qgv,9.400000
qrg,9.400000
saa,9.400000
sfn,9.400000
uxi,9.400000
vbx,9.400000
wso,9.400000
xlj,9.400000
znx,9.400000
bwq,9.400000
cgp,9.400000
cgw,9.400000
dhy,9.400000
ecq,9.400000
fpv,9.400000
gec,9.400000
bjb,9.410000
bub,9.410000
bxe,9.410000
cdb,9.410000
cmc,9.410000
czx,9.410000
gxk,9.410000
hho,9.410000
hhw,9.410000
ijz,9.410000
jgr,9.410000
jie,9.410000
kam,9.410000
mgu,9.410000
mln,9.410000
nwx,9.410000
nyb,9.410000
pbw,9.410000
pip,9.410000
qud,9.410000
rne,9.410000
uar,9.410000
utk,9.410000
wiy,9.410000
wjm,9.410000
wwh,9.410000
wym,9.410000
xze,9.410000
ywo,9.410000
arr,9.420000
bji,9.420000
caj,9.420000
cfh,9.420000
cqe,9.420000
ecu,9.420000
gjt,9.420000
ptv,9.420000
qcl,9.420000
qxh,9.420000
rgl,9.420000
sal,9.420000
sxw,9.420000
tik,9.420000
twr,9.420000
vll,9.420000
vyn,9.420000
wao,9.420000
yec,9.420000
zmk,9.420000
haa,9.420000
hzd,9.420000
jez,9.420000
jne,9.420000
jul,9.420000
khu,9.420000
kwi,9.420000
los,9.420000
mnw,9.420000
mxv,9.420000
myh,9.420000
ndf,9.420000
nkd,9.420000
npt,9.420000
pbr,9.420000
aot,9.430000
bdn,9.430000
eaw,9.430000
far,9.430000
hku,9.430000
iie,9.430000
ixi,9.430000
jft,9.430000
ket,9.430000
kow,9.430000
kzi,9.430000
lek,9.430000
lfn,9.430000
mll,9.430000
mze,9.430000
nar,9.430000
ocj,9.430000
qdu,9.430000
rbk,9.430000
rmo,9.430000
rst,9.430000
rvw,9.430000
txv,9.430000
ubp,9.430000
ujf,9.430000
xul,9.430000
ydb,9.430000
zcw,9.430000
bly,9.430000
byk,9.430000
bsy,9.440000
cjv,9.440000
crj,9.440000
dkw,9.440000
dnz,9.440000
eid,9.440000
euy,9.440000
ffl,9.440000
gae,9.440000
gxx,9.440000
has,9.440000
hfc,9.440000
htb,9.440000
hwl,9.440000
isu,9.440000
jnb,9.440000
kgo,9.440000
mjb,9.440000
mmc,9.440000
rcc,9.440000
sjd,9.440000
teb,9.440000
ucr,9.440000
ull,9.440000
uzl,9.440000
xqs,9.440000
yti,9.440000
zam,9.440000
acv,9.450000
acx,9.450000
aey,9.450000
bia,9.450000
bkp,9.450000
bol,9.450000
bpf,9.450000
cef,9.450000
cpb,9.450000
dfr,9.450000
duu,9.450000
dwd,9.450000
fme,9.450000
fun,9.450000
klb,9.450000
lft,9.450000
lvc,9.450000
nhj,9.450000
nif,9.450000
nqb,9.450000
qjr,9.450000
ssy,9.450000
taf,9.450000
twn,9.450000
ucj,9.450000
uva,9.450000
vhu,9.450000
vis,9.450000
vth,9.450000
vvj,9.450000
wep,9.450000
xco,9.450000
xhi,9.450000
xkz,9.450000
yij,9.450000
yuu,9.460000
zjz,9.460000
zyj,9.460000
gxu,9.450000
hab,9.450000
hif,9.450000
hrz,9.450000
ide,9.450000
imh,9.450000
aqt,9.460000
bri,9.460000
bxx,9.460000
cjp,9.460000
end,9.460000
eqf,9.460000
euj,9.460000
ezn,9.460000
gky,9.460000
hga,9.460000
hhh,9.460000
hvq,9.460000
ijc,9.460000
ixt,9.460000
jjw,9.460000
mhx,9.460000
mnp,9.460000
msa,9.460000
ois,9.460000
pbi,9.460000
pqk,9.460000
pxk,9.460000
qqc,9.460000
qxa,9.460000
rdo,9.460000
rsg,9.460000
uww,9.460000
wfm,9.460000
wqz,9.460000
wrj,9.460000
yfx,9.460000
ygi,9.460000
yiz,9.460000
tsa,9.460000
ary,9.470000
bgy,9.470000
blm,9.470000
fim,9.470000
fmt,9.470000
gaq,9.470000
gte,9.470000
hrc,9.470000
hsb,9.470000
iib,9.470000
jox,9.470000
jxe,9.470000
jzp,9.470000
kzj,9.470000
lag,9.470000
ldt,9.470000
lhk,9.470000
lja,9.470000
luy,9.470000
nrz,9.470000
ojg,9.470000
oup,9.470000
pvr,9.470000
qdl,9.470000
qli,9.470000
rhm,9.470000
rmm,9.470000
rut,9.470000
swd,9.470000
tlt,9.470000
trl,9.470000
tsu,9.470000
ube,9.470000
unh,9.470000
uqv,9.470000
wkc,9.470000
ynd,9.470000
blu,9.470000
cak,9.470000
ccc,9.470000
dcj,9.470000
dfo,9.470000
dik,9.470000
egq,9.470000
beg,9.480000
bjc,9.480000
bze,9.480000
cje,9.480000
dhv,9.480000
eeh,9.480000
efr,9.480000
emj,9.480000
ene,9.480000
ezj,9.480000
ieh,9.480000
ijr,9.480000
ikq,9.480000
jmf,9.480000
krc,9.480000
nqa,9.480000
